States,Years,Quarter,Brands,Transaction_count,Percentage
Arunachal Pradesh,2018,3,Realme,2676,0.0582727
Arunachal Pradesh,2018,3,Apple,1153,0.0251078
Arunachal Pradesh,2018,3,Gionee,1024,0.0222987
Arunachal Pradesh,2018,3,OnePlus,740,0.0161143
Arunachal Pradesh,2018,3,Motorola,722,0.0157223
Arunachal Pradesh,2018,3,Lenovo,629,0.0136971
Arunachal Pradesh,2018,3,Others,4203,0.0915248
Arunachal Pradesh,2018,4,Xiaomi,15097,0.244083
Arunachal Pradesh,2018,4,Samsung,12580,0.203389
Arunachal Pradesh,2018,4,Vivo,11624,0.187932
Arunachal Pradesh,2018,4,Oppo,8328,0.134644
Arunachal Pradesh,2018,4,Realme,3613,0.0584136
Arunachal Pradesh,2018,4,Apple,1517,0.0245263
Arunachal Pradesh,2018,4,Gionee,1188,0.0192071
Arunachal Pradesh,2018,4,Motorola,944,0.0152622
Arunachal Pradesh,2018,4,OnePlus,896,0.0144862
Arunachal Pradesh,2018,4,Lenovo,831,0.0134353
Arunachal Pradesh,2018,4,Others,5234,0.0846214
Arunachal Pradesh,2019,1,Xiaomi,18809,0.244409
Arunachal Pradesh,2019,1,Samsung,15537,0.201892
Arunachal Pradesh,2019,1,Vivo,14892,0.193511
Arunachal Pradesh,2019,1,Oppo,10738,0.139532
Arunachal Pradesh,2019,1,Realme,4413,0.0573437
Arunachal Pradesh,2019,1,Apple,1870,0.0242993
Arunachal Pradesh,2019,1,Gionee,1310,0.0170225
Arunachal Pradesh,2019,1,Motorola,1137,0.0147745
Arunachal Pradesh,2019,1,OnePlus,1114,0.0144756
Arunachal Pradesh,2019,1,Huawei,972,0.0126304
Arunachal Pradesh,2019,1,Others,6165,0.0801097
Arunachal Pradesh,2019,2,Xiaomi,23326,0.243271
Arunachal Pradesh,2019,2,Samsung,19719,0.205653
Arunachal Pradesh,2019,2,Vivo,18958,0.197716
Arunachal Pradesh,2019,2,Oppo,13678,0.14265
Arunachal Pradesh,2019,2,Realme,5425,0.0565782
Arunachal Pradesh,2019,2,Apple,2169,0.0226208
Arunachal Pradesh,2019,2,Gionee,1608,0.0167701
Arunachal Pradesh,2019,2,Motorola,1404,0.0146425
Arunachal Pradesh,2019,2,OnePlus,1251,0.0130469
Arunachal Pradesh,2019,2,Huawei,1175,0.0122543
Arunachal Pradesh,2019,2,Others,7172,0.0747979
Arunachal Pradesh,2019,3,Xiaomi,27394,0.244264
Arunachal Pradesh,2019,3,Vivo,22731,0.202686
Arunachal Pradesh,2019,3,Samsung,22720,0.202588
Arunachal Pradesh,2019,3,Oppo,16262,0.145004
Arunachal Pradesh,2019,3,Realme,6477,0.0577535
Arunachal Pradesh,2019,3,Apple,2509,0.022372
Arunachal Pradesh,2019,3,Gionee,1800,0.0160501
Arunachal Pradesh,2019,3,Motorola,1561,0.013919
Arunachal Pradesh,2019,3,OnePlus,1390,0.0123942
Arunachal Pradesh,2019,3,Huawei,1377,0.0122783
Arunachal Pradesh,2019,3,Others,7928,0.0706917
Arunachal Pradesh,2019,4,Xiaomi,31369,0.242567
Arunachal Pradesh,2019,4,Vivo,26787,0.207136
Arunachal Pradesh,2019,4,Samsung,26087,0.201723
Arunachal Pradesh,2019,4,Oppo,19208,0.14853
Arunachal Pradesh,2019,4,Realme,7743,0.0598743
Arunachal Pradesh,2019,4,Apple,2811,0.0217366
Arunachal Pradesh,2019,4,Gionee,1983,0.0153339
Arunachal Pradesh,2019,4,Motorola,1637,0.0126584
Arunachal Pradesh,2019,4,Huawei,1581,0.0122254
Arunachal Pradesh,2019,4,OnePlus,1535,0.0118697
Arunachal Pradesh,2019,4,Others,8580,0.0663465
Arunachal Pradesh,2020,1,Xiaomi,35625,0.238988
Arunachal Pradesh,2020,1,Vivo,31742,0.212939
Arunachal Pradesh,2020,1,Samsung,29807,0.199958
Arunachal Pradesh,2020,1,Oppo,22566,0.151383
Arunachal Pradesh,2020,1,Realme,9351,0.0627306
Arunachal Pradesh,2020,1,Apple,3135,0.021031
Arunachal Pradesh,2020,1,Gionee,2068,0.013873
Arunachal Pradesh,2020,1,Huawei,1768,0.0118605
Arunachal Pradesh,2020,1,Motorola,1742,0.0116861
Arunachal Pradesh,2020,1,OnePlus,1696,0.0113775
Arunachal Pradesh,2020,1,Others,9566,0.0641729
Arunachal Pradesh,2020,2,Xiaomi,41662,0.234671
