States,Years,Quarter,District,Transaction_count,Transaction_amount
Andhra Pradesh,2024,2,visakhapatnam district,260339876,378402000000.0
Andhra Pradesh,2024,2,prakasam district,112437837,202731000000.0
Andhra Pradesh,2024,2,anantapur district,136536485,225724000000.0
Andhra Pradesh,2024,2,ysr district,103280919,200094000000.0
Andhra Pradesh,2024,2,west godavari district,143617131,249493000000.0
Andhra Pradesh,2024,2,kurnool district,127978397,213991000000.0
Andhra Pradesh,2024,2,chittoor district,194201427,307620000000.0
Andhra Pradesh,2024,2,guntur district,191134818,314057000000.0
Andhra Pradesh,2024,2,krishna district,206843456,335127000000.0
Andhra Pradesh,2024,3,east godavari district,85529302,134055000000.0
Andhra Pradesh,2024,3,srikakulam district,62184993,97813200000.0
Andhra Pradesh,2024,3,visakhapatnam district,213106280,290037000000.0
Andhra Pradesh,2024,3,sri potti sriramulu nellore district,106917876,175836000000.0
Andhra Pradesh,2024,3,kurnool district,76743327,116585000000.0
Andhra Pradesh,2024,3,guntur district,127566851,190039000000.0
